City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
490,Helong,CN,42.5397,128.9972,38.59,36,3,4.07,clear sky,2021-11-16 01:49:52
491,Porto Novo,BJ,6.4965,2.6036,82.22,86,33,5.55,light rain,2021-11-16 01:49:52
492,Kilakarai,IN,9.2333,78.7833,80.04,80,88,6.31,overcast clouds,2021-11-16 01:49:53
493,Mersing,MY,2.4312,103.8405,80.51,89,40,0.0,scattered clouds,2021-11-16 01:49:53
494,Lorengau,PG,-2.0226,147.2712,83.26,75,80,5.39,broken clouds,2021-11-16 01:49:53
495,El Tigre,VE,8.8875,-64.2454,76.69,72,63,13.04,broken clouds,2021-11-16 01:49:54
496,Vagur,FO,61.4732,-6.8119,48.69,92,100,40.78,overcast clouds,2021-11-16 01:49:54
497,Obigarm,TJ,38.7173,69.7088,30.7,51,0,10.04,clear sky,2021-11-16 01:49:55
498,Spornoye,RU,50.8448,37.2913,21.22,88,19,4.05,few clouds,2021-11-16 01:49:55
499,Gulu,UG,2.7746,32.299,72.01,51,95,3.6,overcast clouds,2021-11-16 01:49:55
500,Kichera,RU,55.9375,110.0997,28.63,93,98,1.34,light snow,2021-11-16 01:49:56
501,Taoudenni,ML,22.6783,-3.9836,71.87,18,100,5.46,overcast clouds,2021-11-16 01:49:56
502,Rodrigues Alves,BR,-7.738,-72.6509,75.24,91,98,2.82,overcast clouds,2021-11-16 01:49:56
503,Oranjemund,NA,-28.55,16.4333,58.89,95,6,5.37,clear sky,2021-11-16 01:49:57
504,Hanchuan,CN,30.65,113.7667,67.12,44,42,10.18,scattered clouds,2021-11-16 01:49:57
505,Hailey,US,43.5196,-114.3153,48.06,61,1,0.0,clear sky,2021-11-16 01:49:58
506,Kilindoni,TZ,-7.9139,39.6668,79.14,78,9,9.62,clear sky,2021-11-16 01:49:58
507,Rumonge,BI,-3.9736,29.4386,74.35,65,92,5.61,overcast clouds,2021-11-16 01:49:58
508,Atambua,ID,-9.1061,124.8925,84.69,50,70,3.09,broken clouds,2021-11-16 01:49:59
509,Imbituba,BR,-28.24,-48.6703,73.29,87,6,16.04,clear sky,2021-11-16 01:49:59
510,Ketchikan,US,55.3422,-131.6461,34.27,86,75,0.0,broken clouds,2021-11-16 01:50:00
511,Hukuntsi,BW,-24.0,21.75,80.71,23,9,9.01,clear sky,2021-11-16 01:50:00
512,Zharkovskiy,RU,55.849,32.2697,28.0,78,50,7.11,scattered clouds,2021-11-16 01:50:00
513,Nortelandia,BR,-14.4547,-56.8028,73.24,98,100,2.04,overcast clouds,2021-11-16 01:50:01
514,Conde,BR,-7.2597,-34.9075,78.26,83,20,5.75,few clouds,2021-11-16 01:50:01
515,Cravo Norte,CO,6.3017,-70.2041,79.5,60,42,6.17,scattered clouds,2021-11-16 01:50:01
516,Ust-Omchug,RU,61.15,149.6333,8.35,92,100,5.26,overcast clouds,2021-11-16 01:50:02
517,Egvekinot,RU,66.3167,-179.1667,7.54,90,100,5.48,overcast clouds,2021-11-16 01:50:02
518,Katsuura,JP,35.1333,140.3,60.91,73,59,8.16,broken clouds,2021-11-16 01:50:03
519,Laje,BR,-10.1833,-40.9667,72.75,79,100,12.19,overcast clouds,2021-11-16 01:50:03
520,Dzilam Gonzalez,MX,21.2833,-88.9333,69.82,76,87,6.02,overcast clouds,2021-11-16 01:50:04
521,Minab,IR,27.1467,57.0801,62.1,22,0,4.88,clear sky,2021-11-16 01:48:44
522,Mount Isa,AU,-20.7333,139.5,83.97,14,22,12.66,few clouds,2021-11-16 01:50:04
523,Devils Lake,US,48.1128,-98.8651,31.95,96,90,11.99,overcast clouds,2021-11-16 01:49:26
524,Dhidhdhoo,MV,6.8833,73.1,81.23,80,100,17.05,light rain,2021-11-16 01:50:05
525,Sonneberg,DE,50.35,11.1667,41.02,90,51,4.0,broken clouds,2021-11-16 01:50:06
526,Pringsewu,ID,-5.3582,104.9744,81.54,74,99,1.16,overcast clouds,2021-11-16 01:50:06
527,Matata,NZ,-37.8833,176.75,74.52,57,54,15.55,broken clouds,2021-11-16 01:50:07
528,Mount Gambier,AU,-37.8333,140.7667,53.51,71,90,9.22,overcast clouds,2021-11-16 01:50:07
529,Abu Dhabi,AE,24.4667,54.3667,73.51,73,0,0.0,clear sky,2021-11-16 01:50:08
530,Ust-Kuyga,RU,70.0167,135.6,-3.96,99,100,2.21,light snow,2021-11-16 01:50:08
531,Torbat-E Jam,IR,35.244,60.6225,43.9,53,99,0.49,overcast clouds,2021-11-16 01:50:08
532,Topolobampo,MX,25.6,-109.05,78.06,61,72,9.64,broken clouds,2021-11-16 01:50:09
533,Pandan,PH,14.0453,124.1694,82.24,85,100,11.99,overcast clouds,2021-11-16 01:50:09
534,Finschhafen,PG,-6.6024,147.8681,84.9,71,92,6.06,overcast clouds,2021-11-16 01:50:10
535,Sassandra,CI,4.95,-6.0833,76.37,90,64,5.01,light rain,2021-11-16 01:50:10
536,Norman Wells,CA,65.282,-126.8329,1.44,78,75,4.61,light snow,2021-11-16 01:50:11
537,Haines Junction,CA,60.7522,-137.5108,8.55,72,65,2.3,broken clouds,2021-11-16 01:50:11
538,Baymak,RU,52.5933,58.3225,2.66,90,5,4.18,clear sky,2021-11-16 01:50:12
539,Felanitx,ES,39.4696,3.1483,56.95,80,95,20.67,overcast clouds,2021-11-16 01:50:12
540,Ilo,PE,-17.6394,-71.3375,64.09,80,100,4.59,overcast clouds,2021-11-16 01:50:13
541,La Romana,DO,18.4273,-68.9728,79.16,89,40,4.61,scattered clouds,2021-11-16 01:50:13
542,Goure,NE,13.9835,10.2704,80.02,15,97,7.45,overcast clouds,2021-11-16 01:50:13
543,Townsville,AU,-19.25,146.8,81.48,78,40,11.5,scattered clouds,2021-11-16 01:48:03
